"C-type lectin receptor signaling pathway","CFTR_interactor","Cytokine-cytokine receptor interaction","Cytosolic DNA-sensing pathway","dorothea_tf","Estrogen signaling pathway","IL-17 signaling pathway","name","NF-kappa B signaling pathway","NOD-like receptor signaling pathway","Node_type","Osteoclast differentiation","pathway","receptor","receptor_ligand","Regulation of actin cytoskeleton","RIG-I-like receptor signaling pathway","selected","shared name","sum","T cell receptor signaling pathway","Th17 cell differentiation","TNF signaling pathway","Toll-like receptor signaling pathway","Viral protein interaction with cytokine and cytokine receptor"
"0","NA","0","0","false","0","0","TRIP6","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","TRIP6","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","TAB2","0","0","Protein","0","Toll-like receptor signaling pathway","false","false","0","0","false","TAB2","1","0","0","0","1","0"
"1","NA","0","0","false","0","0","IKBKB","1","0","Protein","1","NA","false","false","0","1","false","IKBKB","7","1","0","1","1","0"
"0","NA","0","0","false","0","1","IL17A","0","0","Receptor Ligand","0","NA","false","true","0","0","false","IL17A","2","0","1","0","0","0"
"1","NA","0","1","true","0","1","NFKB1","1","1","End point - TF","1","NA","false","false","0","1","false","NFKB1","10","1","0","1","1","0"
"0","NA","0","1","false","0","1","NFKBIA","1","1","Protein","1","NA","false","false","0","1","false","NFKBIA","10","1","1","1","1","0"
"0","NA","0","0","false","0","1","IL17RA","0","0","Receptor","0","IL-17 signaling pathway","true","false","0","0","false","IL17RA","1","0","0","0","0","0"
"0","NA","0","0","true","0","0","CREB1","0","0","End point - TF","1","Osteoclast differentiation","false","false","0","0","false","CREB1","1","0","0","0","0","0"
"1","NA","0","0","false","0","0","IKBKG","0","1","Protein","0","NA","false","false","0","1","false","IKBKG","5","1","0","1","0","0"
"0","NA","0","0","false","0","0","IFI16","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","IFI16","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","PPP1R12A","0","0","Protein","0","Regulation of actin cytoskeleton","false","false","1","0","false","PPP1R12A","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","STING1","0","1","Protein","0","NA","false","false","0","1","false","STING1","2","0","0","0","0","0"
"0","NA","0","0","false","0","0","MYL12B","0","0","End point - Regulation of actin cytoskeleton","0","Regulation of actin cytoskeleton","false","false","1","0","false","MYL12B","1","0","0","0","0","0"
"1","NA","0","1","false","0","0","CHUK","1","1","Protein","1","NA","false","false","0","0","false","CHUK","9","1","1","1","1","0"
"0","NA","0","0","false","0","0","TKFC","0","0","Protein","0","RIG-I-like receptor signaling pathway","false","false","0","1","false","TKFC","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","IFIH1","0","0","Protein","0","RIG-I-like receptor signaling pathway","false","false","0","1","false","IFIH1","1","0","0","0","0","0"
"1","NA","0","0","true","0","0","NFKB2","1","0","End point - TF","1","NA","false","false","0","0","false","NFKB2","3","0","0","0","0","0"
"0","NA","0","0","false","0","0","PYDC2","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","PYDC2","1","0","0","0","0","0"
